customer_id,customer_name,location_id,join_date
50,Customer 50,2,2018-11-20 15:29:38
51,Customer 51,6,2018-07-08 21:45:47
52,Customer 52,6,2023-08-13 02:51:34
53,Customer 53,3,2021-04-30 11:29:31
54,Customer 54,1,2020-08-17 00:14:10
55,Customer 55,4,2022-06-04 02:32:43
56,Customer 56,4,2020-04-19 11:17:23
57,Customer 57,1,2022-05-18 00:16:51
58,Customer 58,4,2019-01-21 10:32:01
59,Customer 59,6,2021-04-26 01:18:55
60,Customer 60,1,2023-09-10 10:54:58
61,Customer 61,5,2023-08-13 03:31:03
62,Customer 62,1,2020-03-01 02:45:13
63,Customer 63,5,2022-09-05 20:38:47
64,Customer 64,3,2021-09-03 18:14:23
65,Customer 65,1,2020-11-15 19:39:51
66,Customer 66,6,2018-11-03 10:37:18
67,Customer 67,1,2020-04-04 05:27:14
68,Customer 68,4,2021-11-28 16:48:51
69,Customer 69,2,2023-12-01 17:21:14
70,Customer 70,6,2018-01-11 17:02:55
71,Customer 71,5,2022-04-21 21:28:40
72,Customer 72,5,2023-01-28 11:27:56
73,Customer 73,3,2023-09-15 02:47:28
74,Customer 74,3,2018-09-17 11:14:02
75,Customer 75,4,2019-08-17 10:02:06
76,Customer 76,5,2023-02-06 16:03:00
77,Customer 77,6,2023-04-07 16:15:33
78,Customer 78,1,2021-10-27 04:36:11
79,Customer 79,4,2018-09-26 19:14:25
80,Customer 80,1,2018-09-25 00:12:12
81,Customer 81,2,2020-11-13 04:43:34
82,Customer 82,5,2021-07-12 06:50:25
83,Customer 83,2,2018-03-12 21:49:13
84,Customer 84,5,2022-02-11 13:13:29
85,Customer 85,3,2021-04-07 11:26:48
86,Customer 86,2,2018-01-27 22:37:44
87,Customer 87,3,2018-07-29 12:48:41
88,Customer 88,4,2020-09-21 22:57:07
89,Customer 89,5,2022-05-02 11:05:25
90,Customer 90,4,2022-12-13 14:59:53
91,Customer 91,6,2020-08-02 13:12:42
92,Customer 92,6,2019-10-09 20:04:13
93,Customer 93,5,2023-10-22 14:23:30
94,Customer 94,4,2020-10-01 05:17:13
95,Customer 95,2,2019-11-22 16:53:01
96,Customer 96,3,2020-08-26 16:01:49
97,Customer 97,1,2018-01-27 11:32:13
98,Customer 98,3,2019-10-24 05:18:13
99,Customer 99,6,2021-02-03 01:32:32
100,Customer 100,3,2023-07-05 09:18:21
101,Customer 101,1,2022-06-05 17:09:44
102,Customer 102,4,2022-09-08 00:48:52
103,Customer 103,6,2021-04-08 08:02:00
104,Customer 104,6,2018-08-31 04:31:36
105,Customer 105,2,2020-05-06 03:05:43
106,Customer 106,3,2023-12-24 12:08:29
107,Customer 107,4,2018-04-07 17:37:41
108,Customer 108,2,2023-04-10 10:45:11
109,Customer 109,2,2022-02-08 01:05:31
110,Customer 110,2,2019-09-14 18:13:38
111,Customer 111,6,2022-08-31 19:05:05
112,Customer 112,5,2023-01-07 19:17:03
113,Customer 113,6,2018-04-05 15:35:44
114,Customer 114,5,2018-08-22 01:24:38
115,Customer 115,6,2021-12-28 23:47:58
116,Customer 116,1,2023-12-29 00:56:40
117,Customer 117,6,2018-02-22 11:40:52
118,Customer 118,1,2018-10-26 23:43:51
119,Customer 119,3,2021-11-24 18:34:14
120,Customer 120,4,2021-09-27 01:25:46
121,Customer 121,3,2018-07-18 01:33:52
122,Customer 122,1,2022-01-30 19:04:08
123,Customer 123,2,2023-05-19 12:04:31
124,Customer 124,5,2023-03-06 22:35:56
125,Customer 125,2,2018-03-05 12:12:49
126,Customer 126,2,2019-06-23 13:22:26
127,Customer 127,6,2019-06-12 09:55:21
128,Customer 128,1,2020-09-19 17:02:41
129,Customer 129,6,2018-11-10 05:13:47
130,Customer 130,6,2023-02-15 00:27:34
131,Customer 131,4,2022-08-29 02:55:22
132,Customer 132,1,2018-02-01 21:56:06
133,Customer 133,1,2023-06-18 07:08:42
134,Customer 134,2,2019-09-25 17:01:33
135,Customer 135,4,2021-12-08 05:30:02
136,Customer 136,1,2023-06-15 15:59:03
137,Customer 137,3,2018-03-21 04:42:43
138,Customer 138,1,2018-01-12 23:40:49
139,Customer 139,4,2018-01-12 21:23:31
140,Customer 140,1,2018-12-09 08:28:51
141,Customer 141,5,2018-04-24 03:08:24
142,Customer 142,1,2022-12-01 18:11:36
143,Customer 143,2,2021-08-19 23:25:38
144,Customer 144,2,2023-11-17 07:15:25
145,Customer 145,5,2022-10-22 05:53:02
146,Customer 146,1,2023-10-11 09:09:22
147,Customer 147,3,2019-06-07 10:20:10
148,Customer 148,4,2019-09-23 06:44:48
149,Customer 149,4,2023-02-04 04:55:43
150,Customer 150,5,2019-06-21 07:02:22
151,Customer 151,5,2018-05-06 08:06:38
152,Customer 152,3,2022-10-21 02:39:36
153,Customer 153,5,2023-10-22 08:23:35
154,Customer 154,2,2023-07-25 20:55:40
155,Customer 155,6,2018-09-21 07:19:07
156,Customer 156,4,2022-08-18 22:01:02
157,Customer 157,5,2023-01-28 00:28:58
158,Customer 158,6,2022-03-09 21:13:42
159,Customer 159,5,2022-12-01 08:40:20
160,Customer 160,6,2020-09-04 22:40:40
161,Customer 161,4,2018-03-29 22:21:08
162,Customer 162,1,2020-09-26 01:34:32
163,Customer 163,3,2019-03-18 21:40:03
164,Customer 164,2,2018-09-07 01:37:04
165,Customer 165,6,2018-10-01 13:59:18
166,Customer 166,2,2022-03-08 05:58:35
167,Customer 167,2,2021-01-09 22:08:55
168,Customer 168,2,2021-03-28 05:55:18
169,Customer 169,4,2022-06-20 23:05:16
170,Customer 170,4,2021-04-15 16:57:14
171,Customer 171,6,2021-10-11 17:25:21
172,Customer 172,3,2018-07-08 09:26:47
173,Customer 173,2,2023-02-07 23:27:02
174,Customer 174,1,2020-09-09 19:55:01
175,Customer 175,1,2018-12-06 21:59:41
176,Customer 176,3,2022-11-17 04:32:41
177,Customer 177,6,2022-05-28 19:41:04
178,Customer 178,4,2018-04-27 03:02:35
179,Customer 179,6,2019-02-27 18:15:38
180,Customer 180,1,2018-02-04 11:47:26
181,Customer 181,1,2019-08-16 23:04:47
182,Customer 182,6,2018-08-07 22:58:06
183,Customer 183,1,2022-04-04 16:35:27
184,Customer 184,1,2021-02-18 09:23:33
185,Customer 185,3,2023-11-17 15:33:48
186,Customer 186,6,2022-06-30 05:43:44
187,Customer 187,5,2021-09-01 06:43:54
188,Customer 188,1,2021-01-20 09:30:35
189,Customer 189,6,2018-04-30 08:32:11
190,Customer 190,6,2018-06-03 17:46:36
191,Customer 191,5,2021-09-11 17:11:58
192,Customer 192,6,2018-01-10 14:10:10
193,Customer 193,2,2018-04-03 17:56:41
194,Customer 194,6,2019-04-25 21:46:28
195,Customer 195,2,2023-04-21 06:41:54
196,Customer 196,5,2020-10-02 01:22:03
197,Customer 197,4,2022-04-03 23:26:04
198,Customer 198,5,2020-06-20 07:42:43
199,Customer 199,4,2019-01-15 03:35:58
200,Customer 200,4,2020-03-23 19:59:12
201,Customer 201,4,2018-07-20 20:51:21
202,Customer 202,5,2022-08-14 20:30:17
203,Customer 203,5,2019-02-06 22:30:23
204,Customer 204,1,2020-04-04 06:21:57
205,Customer 205,5,2023-11-17 06:13:42
206,Customer 206,4,2021-07-20 09:35:16
207,Customer 207,2,2020-10-01 05:56:50
208,Customer 208,4,2021-04-04 04:45:04
209,Customer 209,6,2022-09-14 03:17:40
210,Customer 210,6,2019-07-12 07:33:44
211,Customer 211,6,2021-10-25 17:37:20
212,Customer 212,3,2023-03-27 04:39:57
213,Customer 213,5,2021-06-07 14:02:06
214,Customer 214,3,2020-09-04 22:08:41
215,Customer 215,5,2018-11-14 20:02:46
216,Customer 216,4,2019-06-28 18:05:49
217,Customer 217,2,2023-09-03 19:02:42
218,Customer 218,2,2021-03-31 08:37:23
219,Customer 219,1,2019-10-22 22:34:07
220,Customer 220,1,2020-07-05 05:26:22
221,Customer 221,3,2021-06-19 20:35:05
222,Customer 222,3,2021-03-23 05:28:41
223,Customer 223,1,2022-03-13 12:13:25
224,Customer 224,3,2019-07-18 21:48:46
225,Customer 225,4,2021-11-22 19:41:40
226,Customer 226,2,2020-08-27 11:06:46
227,Customer 227,3,2023-08-22 21:38:31
228,Customer 228,3,2018-12-12 20:25:18
229,Customer 229,4,2018-11-22 01:57:11
230,Customer 230,3,2020-10-08 00:46:07
231,Customer 231,5,2021-01-18 07:01:11
232,Customer 232,2,2022-02-22 00:24:02
233,Customer 233,3,2020-06-03 20:02:51
234,Customer 234,3,2023-06-25 00:54:26
235,Customer 235,2,2020-11-04 10:18:30
236,Customer 236,5,2018-10-11 05:55:17
237,Customer 237,2,2018-09-19 02:04:23
238,Customer 238,2,2023-11-02 18:12:41
239,Customer 239,5,2018-10-21 16:00:45
240,Customer 240,6,2023-09-07 19:03:30
241,Customer 241,5,2019-09-01 23:39:02
242,Customer 242,6,2018-07-24 13:35:21
243,Customer 243,6,2019-10-30 07:16:26
244,Customer 244,3,2021-09-08 04:31:43
245,Customer 245,5,2020-07-26 02:35:34
246,Customer 246,2,2022-09-17 10:06:20
247,Customer 247,3,2021-08-31 01:30:19
248,Customer 248,4,2020-05-27 17:12:17
249,Customer 249,6,2021-10-21 20:06:23
250,Customer 250,6,2023-10-29 12:04:31
251,Customer 251,3,2020-06-20 20:46:50
252,Customer 252,4,2018-12-03 01:00:01
253,Customer 253,2,2020-06-14 05:38:24
254,Customer 254,5,2023-01-14 20:26:28
255,Customer 255,4,2019-04-22 14:33:19
256,Customer 256,4,2023-09-10 14:56:23
257,Customer 257,5,2021-07-12 09:22:35
258,Customer 258,4,2021-08-10 10:41:40
259,Customer 259,1,2019-11-26 07:40:13
260,Customer 260,2,2018-03-20 23:18:17
261,Customer 261,2,2019-10-17 02:09:51
262,Customer 262,5,2020-07-05 07:06:22
263,Customer 263,1,2020-11-11 05:35:46
264,Customer 264,2,2020-11-04 08:24:48
265,Customer 265,4,2018-11-20 22:54:32
266,Customer 266,5,2019-05-10 01:09:40
267,Customer 267,4,2018-07-28 13:55:32
268,Customer 268,6,2021-06-07 16:23:20
269,Customer 269,6,2020-02-08 09:39:33
270,Customer 270,1,2021-05-24 00:58:15
271,Customer 271,6,2021-07-15 11:23:10
272,Customer 272,4,2022-03-18 09:14:04
273,Customer 273,4,2021-04-13 00:11:17
274,Customer 274,1,2021-11-20 00:10:19
275,Customer 275,4,2021-07-09 20:36:34
276,Customer 276,5,2021-11-29 19:52:53
277,Customer 277,4,2021-09-12 10:48:16
278,Customer 278,1,2019-11-24 12:12:56
279,Customer 279,4,2019-06-24 08:42:36
280,Customer 280,6,2022-09-21 11:26:15
281,Customer 281,5,2020-01-21 12:24:55
282,Customer 282,1,2021-04-17 15:01:43
283,Customer 283,6,2019-03-08 08:54:18
284,Customer 284,6,2020-08-02 19:20:25
285,Customer 285,2,2021-03-05 23:07:24
286,Customer 286,5,2021-10-02 23:12:57
287,Customer 287,3,2021-02-26 18:21:26
288,Customer 288,4,2020-02-29 20:08:58
289,Customer 289,3,2023-10-08 06:41:57
290,Customer 290,5,2021-01-27 21:34:28
291,Customer 291,6,2022-06-02 09:15:03
292,Customer 292,5,2021-05-07 17:09:06
293,Customer 293,6,2023-04-26 05:20:08
294,Customer 294,6,2018-10-08 21:45:41
295,Customer 295,1,2023-07-11 02:45:58
296,Customer 296,2,2023-02-05 23:52:48
297,Customer 297,5,2021-01-07 22:56:47
298,Customer 298,4,2022-05-26 03:04:51
299,Customer 299,1,2021-02-13 09:39:36
300,Customer 300,1,2019-08-12 14:15:39
